INSERT DATA {
    :19970308-0000 rdf:type :Student .
    :19970308-0000 :StudentID "19970308-0000"^^xsd:string .
    :19970308-0000 :Graduated "False"^^xsd:boolean .
    :19970308-0000 :StudentName "Student 1"^^xsd:string .
    :19970308-0000 :StudentYear "2017"^^xsd:int .
    :19970308-0000 :isEnrolledIn "10054"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG865"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG866"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG867"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG868"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG869"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG870"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG871"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG872"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG873"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG874"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG875"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG876"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG877"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG878"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG879"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG880"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG881"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG882"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG883"^^xsd:string .
    :19970308-0000 :isRegistered1 "REG884"^^xsd:string .
    :19960213-0001 rdf:type :Student .
    :19960213-0001 :StudentID "19960213-0001"^^xsd:string .
    :19960213-0001 :Graduated "False"^^xsd:boolean .
    :19960213-0001 :StudentName "Student 2"^^xsd:string .
    :19960213-0001 :StudentYear "2016"^^xsd:int .
    :19960213-0001 :isEnrolledIn "10011"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG885"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG886"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG887"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG888"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG889"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG890"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG891"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG892"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG893"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG894"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG895"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG896"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG897"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG898"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG899"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG900"^^xsd:string .
    :19960213-0001 :isRegistered1 "REG901"^^xsd:string .
    :19960328-0002 rdf:type :Student .
    :19960328-0002 :StudentID "19960328-0002"^^xsd:string .
    :19960328-0002 :Graduated "False"^^xsd:boolean .
    :19960328-0002 :StudentName "Student 3"^^xsd:string .
    :19960328-0002 :StudentYear "2019"^^xsd:int .
    :19960328-0002 :isEnrolledIn "10013"^^xsd:string .
    :19960328-0002 :isRegistered1 "REG902"^^xsd:string .
    :19960328-0002 :isRegistered1 "REG903"^^xsd:string .
    :19960328-0002 :isRegistered1 "REG904"^^xsd:string .
    :19960328-0002 :isRegistered1 "REG905"^^xsd:string .
    :19960328-0002 :isRegistered1 "REG906"^^xsd:string .
    :19960328-0002 :isRegistered1 "REG907"^^xsd:string .
